iter	Passed	Remaining
0	20	20218
1	36	18334
2	51	17245
3	66	16544
4	81	16203
5	95	15802
6	109	15555
7	123	15305
8	136	15036
9	150	14928
10	165	14869
11	180	14900
12	197	14991
13	215	15151
14	229	15047
15	242	14887
16	254	14708
17	267	14570
18	280	14467
19	292	14335
20	305	14238
21	317	14103
22	330	14024
23	344	13998
24	356	13909
25	368	13815
26	381	13732
27	393	13660
28	408	13681
29	422	13657
30	445	13911
31	462	13991
32	476	13961
33	489	13896
34	500	13811
35	512	13724
36	524	13645
37	535	13563
38	547	13479
39	558	13404
40	571	13357
41	582	13286
42	597	13290
43	609	13244
44	622	13202
45	634	13151
46	646	13106
47	658	13056
48	670	13006
49	681	12954
50	693	12898
51	704	12836
52	716	12796
53	726	12735
54	738	12683
55	748	12624
56	760	12573
57	771	12527
58	782	12482
59	795	12457
60	806	12413
61	818	12376
62	829	12344
63	841	12306
64	853	12270
65	866	12256
66	879	12241
67	895	12271
68	907	12247
69	919	12212
70	930	12169
71	941	12135
72	952	12098
73	964	12070
74	977	12052
75	990	12041
76	1002	12015
77	1014	11987
78	1025	11956
79	1038	11940
80	1053	11950
81	1067	11947
82	1080	11936
83	1093	11919
84	1105	11901
85	1117	11881
86	1130	11863
87	1143	11850
88	1157	11848
89	1170	11839
90	1186	11853
91	1201	11854
92	1213	11834
93	1225	11810
94	1238	11797
95	1251	11784
96	1264	11772
97	1283	11815
98	1299	11829
99	1312	11811
100	1324	11792
101	1336	11770
102	1349	11753
103	1363	11744
104	1376	11730
105	1389	11722
106	1405	11728
107	1420	11731
108	1435	11735
109	1450	11737
110	1463	11720
111	1477	11714
112	1491	11705
113	1503	11686
114	1517	11680
115	1531	11668
116	1547	11678
117	1564	11697
118	1590	11777
119	1604	11769
120	1618	11755
121	1631	11741
122	1643	11720
123	1656	11700
124	1669	11687
125	1683	11674
126	1695	11653
127	1708	11640
128	1721	11621
129	1733	11597
130	1746	11584
131	1760	11577
132	1773	11564
133	1789	11565
134	1801	11545
135	1814	11525
136	1826	11506
137	1839	11488
138	1857	11503
139	1875	11517
140	1886	11495
141	1900	11482
142	1912	11463
143	1925	11447
144	1942	11455
145	1959	11464
146	1974	11460
147	1989	11455
148	2005	11451
149	2018	11437
150	2032	11429
151	2046	11417
152	2060	11408
153	2074	11396
154	2087	11381
155	2099	11358
156	2111	11339
157	2123	11315
158	2135	11297
159	2149	11283
160	2162	11269
161	2176	11258
162	2188	11239
163	2201	11220
164	2213	11203
165	2226	11183
166	2239	11171
167	2253	11162
168	2268	11156
169	2281	11139
170	2293	11117
171	2304	11094
172	2315	11071
173	2327	11050
174	2339	11027
175	2356	11033
176	2371	11024
177	2384	11012
178	2399	11003
179	2411	10984
180	2422	10960
181	2433	10938
182	2447	10925
183	2459	10909
184	2472	10893
185	2484	10874
186	2498	10863
187	2511	10848
188	2531	10864
189	2551	10876
190	2567	10874
191	2580	10861
192	2593	10846
193	2606	10827
194	2619	10812
195	2633	10801
196	2646	10785
197	2660	10776
198	2674	10766
199	2687	10751
200	2701	10739
201	2714	10723
202	2726	10705
203	2739	10689
204	2754	10680
205	2767	10668
206	2778	10643
207	2789	10620
208	2800	10600
209	2811	10578
210	2823	10556
211	2833	10533
212	2845	10512
213	2856	10490
214	2866	10466
215	2880	10455
216	2891	10433
217	2903	10414
218	2914	10394
219	2926	10375
220	2937	10354
221	2950	10339
222	2961	10318
223	2972	10296
224	2983	10276
225	2995	10259
226	3007	10241
227	3018	10222
228	3030	10202
229	3041	10182
230	3052	10163
231	3063	10142
232	3074	10120
233	3087	10107
234	3100	10094
235	3113	10080
236	3127	10068
237	3139	10052
238	3152	10036
239	3166	10027
240	3178	10011
241	3191	9996
242	3202	9977
243	3213	9957
244	3225	9940
245	3238	9925
246	3250	9909
247	3264	9897
248	3275	9880
249	3287	9862
250	3299	9845
251	3313	9833
252	3326	9821
253	3339	9809
254	3354	9799
255	3366	9784
256	3379	9770
257	3391	9753
258	3403	9736
259	3414	9717
260	3425	9698
261	3437	9682
262	3450	9669
263	3464	9657
264	3479	9650
265	3492	9638
266	3505	9623
267	3519	9612
268	3533	9602
269	3547	9591
270	3561	9580
271	3574	9566
272	3586	9552
273	3599	9536
274	3610	9517
275	3622	9502
276	3634	9485
277	3645	9468
278	3658	9454
279	3669	9435
280	3681	9418
281	3692	9400
282	3703	9383
283	3714	9365
284	3727	9350
285	3738	9333
286	3749	9314
287	3761	9299
288	3773	9284
289	3785	9267
290	3796	9250
291	3808	9234
292	3819	9217
293	3831	9200
294	3842	9182
295	3855	9168
296	3868	9156
297	3881	9144
298	3894	9130
299	3906	9115
300	3919	9103
301	3933	9090
302	3946	9077
303	3960	9067
304	3973	9053
305	3985	9037
306	3996	9022
307	4010	9010
308	4022	8995
309	4035	8981
310	4047	8966
311	4059	8951
312	4072	8938
313	4085	8926
314	4098	8912
315	4110	8897
316	4122	8883
317	4136	8870
318	4149	8858
319	4162	8844
320	4175	8831
321	4188	8819
322	4201	8807
323	4214	8793
324	4227	8780
325	4239	8765
326	4252	8752
327	4266	8740
328	4279	8728
329	4295	8720
330	4310	8711
331	4324	8701
332	4340	8694
333	4353	8681
334	4365	8666
335	4379	8654
336	4392	8642
337	4405	8628
338	4418	8615
339	4430	8600
340	4443	8586
341	4454	8571
342	4466	8556
343	4480	8544
344	4492	8529
345	4504	8514
346	4516	8499
347	4528	8484
348	4540	8469
349	4551	8451
350	4562	8435
351	4573	8419
352	4584	8403
353	4596	8387
354	4606	8370
355	4617	8352
356	4628	8335
357	4639	8319
358	4649	8302
359	4660	8285
360	4671	8268
361	4682	8251
362	4693	8235
363	4705	8221
364	4716	8205
365	4728	8191
366	4739	8175
367	4751	8159
368	4762	8144
369	4773	8127
370	4784	8111
371	4794	8094
372	4805	8078
373	4816	8062
374	4827	8046
375	4838	8029
376	4849	8013
377	4860	7997
378	4871	7981
379	4882	7965
380	4893	7950
381	4905	7935
382	4918	7922
383	4931	7910
384	4942	7895
385	4953	7879
386	4965	7864
387	4977	7851
388	4989	7836
389	5000	7821
390	5012	7806
391	5023	7791
392	5035	7777
393	5047	7764
394	5062	7754
395	5076	7743
396	5089	7730
397	5103	7719
398	5117	7708
399	5131	7697
400	5146	7687
401	5160	7676
402	5174	7665
403	5189	7655
404	5204	7646
405	5218	7634
406	5233	7625
407	5248	7616
408	5265	7608
409	5282	7601
410	5299	7595
411	5319	7592
412	5334	7582
413	5348	7570
414	5362	7558
415	5374	7544
416	5388	7532
417	5400	7519
418	5414	7508
419	5426	7493
420	5439	7480
421	5452	7468
422	5465	7455
423	5479	7443
424	5492	7430
425	5505	7418
426	5525	7414
427	5540	7404
428	5552	7390
429	5564	7375
430	5575	7360
431	5586	7345
432	5597	7329
433	5608	7313
434	5619	7298
435	5630	7283
436	5640	7267
437	5652	7252
438	5663	7236
439	5674	7222
440	5685	7207
441	5696	7191
442	5707	7176
443	5720	7162
444	5732	7149
445	5743	7134
446	5755	7120
447	5767	7106
448	5778	7091
449	5789	7075
450	5804	7065
451	5822	7058
452	5835	7045
453	5846	7031
454	5857	7016
455	5869	7001
456	5880	6987
457	5892	6972
458	5905	6959
459	5917	6947
460	5930	6934
461	5941	6919
462	5953	6904
463	5964	6889
464	5975	6874
465	5986	6859
466	5997	6845
467	6009	6830
468	6020	6816
469	6031	6801
470	6043	6788
471	6055	6773
472	6066	6759
473	6077	6744
474	6089	6730
475	6101	6716
476	6114	6704
477	6126	6690
478	6137	6675
479	6148	6661
480	6159	6646
481	6171	6632
482	6182	6618
483	6195	6604
484	6207	6591
485	6231	6590
486	6245	6578
487	6259	6567
488	6272	6554
489	6285	6542
490	6297	6527
491	6309	6514
492	6321	6500
493	6332	6486
494	6343	6471
495	6354	6457
496	6366	6442
497	6377	6428
498	6388	6414
499	6401	6401
500	6412	6387
501	6426	6375
502	6438	6361
503	6449	6347
504	6461	6333
505	6472	6318
506	6483	6303
507	6494	6289
508	6507	6277
509	6520	6264
510	6531	6250
511	6542	6236
512	6554	6222
513	6566	6208
514	6578	6194
515	6589	6180
516	6600	6166
517	6611	6152
518	6622	6137
519	6633	6123
520	6646	6110
521	6667	6105
522	6681	6094
523	6693	6080
524	6705	6067
525	6718	6054
526	6729	6039
527	6740	6025
528	6751	6011
529	6762	5997
530	6774	5983
531	6785	5968
532	6796	5954
533	6807	5940
534	6818	5926
535	6829	5912
536	6841	5898
537	6851	5884
538	6863	5870
539	6874	5856
540	6886	5842
541	6899	5830
542	6911	5816
543	6922	5802
544	6933	5788
545	6944	5774
546	6955	5760
547	6966	5746
548	6977	5731
549	6987	5717
550	6998	5703
551	7009	5689
552	7021	5675
553	7033	5662
554	7045	5649
555	7056	5635
556	7067	5621
557	7080	5608
558	7103	5603
559	7120	5594
560	7131	5580
561	7143	5567
562	7155	5554
563	7166	5540
564	7177	5526
565	7190	5513
566	7202	5500
567	7216	5488
568	7229	5476
569	7243	5464
570	7256	5451
571	7267	5437
572	7279	5424
573	7292	5411
574	7305	5399
575	7317	5386
576	7328	5372
577	7340	5359
578	7352	5345
579	7364	5332
580	7376	5319
581	7389	5306
582	7401	5294
583	7414	5281
584	7425	5267
585	7436	5253
586	7447	5239
587	7458	5226
588	7470	5212
589	7482	5199
590	7493	5185
591	7505	5172
592	7518	5160
593	7538	5152
594	7554	5142
595	7565	5128
596	7576	5114
597	7587	5100
598	7599	5087
599	7610	5073
600	7621	5060
601	7633	5046
602	7645	5033
603	7658	5020
604	7670	5008
605	7682	4994
606	7693	4981
607	7704	4967
608	7716	4954
609	7727	4940
610	7738	4926
611	7750	4913
612	7761	4899
613	7772	4886
614	7783	4872
615	7795	4859
616	7806	4846
617	7818	4832
618	7831	4820
619	7842	4806
620	7853	4792
621	7865	4780
622	7877	4766
623	7889	4753
624	7901	4740
625	7912	4727
626	7924	4714
627	7935	4700
628	7956	4693
629	7973	4682
630	7985	4670
631	7997	4656
632	8008	4643
633	8020	4630
634	8032	4616
635	8044	4604
636	8056	4591
637	8068	4578
638	8079	4564
639	8092	4552
640	8104	4539
641	8117	4526
642	8127	4512
643	8139	4499
644	8150	4485
645	8163	4473
646	8175	4460
647	8188	4448
648	8201	4435
649	8214	4423
650	8227	4410
651	8238	4397
652	8250	4384
653	8261	4370
654	8272	4357
655	8284	4344
656	8295	4330
657	8306	4317
658	8317	4304
659	8329	4290
660	8340	4277
661	8352	4264
662	8364	4251
663	8379	4240
664	8393	4228
665	8406	4215
666	8418	4202
667	8431	4190
668	8444	4178
669	8457	4165
670	8470	4153
671	8482	4140
672	8493	4127
673	8504	4113
674	8516	4100
675	8526	4086
676	8538	4073
677	8549	4060
678	8561	4047
679	8572	4033
680	8583	4020
681	8594	4007
682	8605	3994
683	8616	3980
684	8628	3968
685	8641	3955
686	8652	3942
687	8663	3928
688	8680	3918
689	8693	3905
690	8704	3892
691	8715	3879
692	8726	3866
693	8737	3852
694	8748	3839
695	8759	3826
696	8771	3813
697	8782	3799
698	8793	3786
699	8804	3773
700	8815	3760
701	8828	3747
702	8841	3735
703	8853	3722
704	8865	3709
705	8876	3696
706	8888	3683
707	8901	3671
708	8911	3657
709	8923	3644
710	8934	3631
711	8946	3618
712	8957	3605
713	8969	3592
714	8981	3579
715	8991	3566
716	9004	3554
717	9017	3541
718	9028	3528
719	9039	3515
720	9050	3502
721	9070	3492
722	9086	3481
723	9097	3468
724	9109	3455
725	9122	3442
726	9134	3430
727	9148	3418
728	9161	3405
729	9174	3393
730	9186	3380
731	9198	3367
732	9210	3354
733	9221	3341
734	9233	3328
735	9244	3315
736	9256	3303
737	9271	3291
738	9283	3278
739	9294	3265
740	9306	3252
741	9318	3240
742	9331	3227
743	9343	3215
744	9356	3202
745	9368	3189
746	9380	3177
747	9393	3164
748	9407	3152
749	9418	3139
750	9430	3126
751	9442	3114
752	9455	3101
753	9466	3088
754	9478	3075
755	9491	3063
756	9507	3052
757	9520	3039
758	9533	3026
759	9544	3014
760	9555	3001
761	9567	2988
762	9579	2975
763	9592	2963
764	9605	2950
765	9616	2937
766	9628	2924
767	9639	2911
768	9650	2898
769	9661	2885
770	9672	2872
771	9683	2859
772	9694	2846
773	9705	2833
774	9716	2820
775	9727	2807
776	9738	2795
777	9749	2782
778	9760	2769
779	9772	2756
780	9784	2743
781	9797	2731
782	9810	2718
783	9821	2706
784	9833	2693
785	9844	2680
786	9856	2667
787	9867	2654
788	9878	2641
789	9890	2629
790	9901	2616
791	9912	2603
792	9933	2592
793	9948	2581
794	9960	2568
795	9972	2555
796	9984	2543
797	9996	2530
798	10007	2517
799	10018	2504
800	10030	2492
801	10041	2479
802	10052	2466
803	10063	2453
804	10074	2440
805	10085	2427
806	10098	2415
807	10110	2402
808	10125	2390
809	10138	2378
810	10151	2365
811	10166	2353
812	10178	2341
813	10190	2328
814	10204	2316
815	10219	2304
816	10235	2292
817	10250	2280
818	10264	2268
819	10279	2256
820	10298	2245
821	10314	2233
822	10330	2221
823	10344	2209
824	10363	2198
825	10379	2186
826	10395	2174
827	10411	2162
828	10427	2150
829	10444	2139
830	10460	2127
831	10476	2115
832	10491	2103
833	10505	2091
834	10519	2078
835	10532	2066
836	10546	2053
837	10561	2041
838	10577	2029
839	10594	2017
840	10609	2005
841	10622	1993
842	10635	1980
843	10649	1968
844	10661	1955
845	10674	1943
846	10687	1930
847	10698	1917
848	10711	1905
849	10722	1892
850	10733	1879
851	10745	1866
852	10756	1853
853	10768	1840
854	10780	1828
855	10793	1815
856	10805	1803
857	10818	1790
858	10830	1777
859	10840	1764
860	10852	1752
861	10865	1739
862	10877	1726
863	10890	1714
864	10903	1701
865	10916	1689
866	10930	1676
867	10943	1664
868	10955	1651
869	10967	1638
870	10980	1626
871	10995	1613
872	11007	1601
873	11019	1588
874	11032	1576
875	11044	1563
876	11057	1550
877	11069	1538
878	11083	1525
879	11095	1513
880	11115	1501
881	11130	1489
882	11142	1476
883	11153	1463
884	11164	1450
885	11176	1438
886	11190	1425
887	11203	1413
888	11215	1400
889	11228	1387
890	11239	1374
891	11250	1362
892	11263	1349
893	11274	1336
894	11287	1324
895	11299	1311
896	11310	1298
897	11323	1286
898	11336	1273
899	11347	1260
900	11358	1248
901	11369	1235
902	11380	1222
903	11392	1209
904	11405	1197
905	11417	1184
906	11428	1171
907	11439	1159
908	11451	1146
909	11462	1133
910	11472	1120
911	11484	1108
912	11495	1095
913	11506	1082
914	11517	1069
915	11528	1057
916	11539	1044
917	11551	1031
918	11567	1019
919	11579	1006
920	11591	994
921	11604	981
922	11616	969
923	11628	956
924	11640	943
925	11652	931
926	11665	918
927	11677	906
928	11688	893
929	11699	880
930	11711	867
931	11722	855
932	11734	842
933	11746	830
934	11759	817
935	11772	804
936	11784	792
937	11797	779
938	11809	767
939	11820	754
940	11832	741
941	11844	729
942	11856	716
943	11867	704
944	11879	691
945	11890	678
946	11902	666
947	11915	653
948	11926	640
949	11939	628
950	11952	615
951	11967	603
952	11980	590
953	11994	578
954	12005	565
955	12017	553
956	12029	540
957	12040	527
958	12054	515
959	12066	502
960	12080	490
961	12093	477
962	12107	465
963	12120	452
964	12133	440
965	12144	427
966	12157	414
967	12171	402
968	12184	389
969	12197	377
970	12210	364
971	12221	352
972	12233	339
973	12246	326
974	12258	314
975	12272	301
976	12286	289
977	12302	276
978	12315	264
979	12327	251
980	12339	238
981	12351	226
982	12365	213
983	12378	201
984	12389	188
985	12402	176
986	12414	163
987	12425	150
988	12437	138
989	12449	125
990	12460	113
991	12471	100
992	12483	87
993	12494	75
